link,nama,keterangan,waktu,text
https://lh3.googleusercontent.com/a-/ALV-UjU8gumg15hOfa9UzO-gja3aw1tQYk3RZeBl9Nf8d5fmmh6wyYPzaQ=w36-h36-p-rp-mo-br100,Michael Ruben,1 review,23 hours ago,"saya datang jauh lebih awal dari jam keberangkatan sehingga masuk ke ruang tunggu boarding (masuk pesawat) ""super air jet"" juga salah satu yang paling awal. Namun sangat disayangkan ketika sudah mau memasuki waktu boarding (masuk pesawat) baru saja dipanggil untuk bongkar koper yang waktu itu kondisi koper sedang sangat penuh. Saya sampai lari-lari ke tempat koper lalu balik lagi ke tempat boarding (ruang tunggu masuk pesawat) pelayan disitu bicara sangat enak sekali ""keterlambatan bukan kesalahan dari kami"" yang muncul di benak saya jelas ada kekeliruan dari pihak airport, mengapa gak sedari awal jika memang mau cek koper?"
https://lh3.googleusercontent.com/a-/ALV-UjUIHWpCo-8GQwj0uPB956S79N3fYJUxtFPKBcruiZlvC10rqepn=w36-h36-p-rp-mo-ba3-br100,Ari ansyah,Local Guide · 32 reviews,a day ago,Ok
https://lh3.googleusercontent.com/a-/ALV-UjU9HU_2YBxJMSrb09B_QbCM5l3TSdTPPyr5Fl1-yj5m6MUiMiA_WQ=w36-h36-p-rp-mo-ba6-br100,laila iskandar,"Local Guide · 493 reviews · 6,205 photos",3 days ago,Baguusss
https://lh3.googleusercontent.com/a-/ALV-UjUZQbirO4rrEb0zsP1L_wKcPk8s4oXqB76mrtwVRUkqXuaHZmJbAg=w36-h36-p-rp-mo-ba4-br100,M_Fajar Purnomo Alam,Local Guide · 188 reviews · 146 photos,4 days ago,Terbaik
https://lh3.googleusercontent.com/a/ACg8ocJtCfm4-BimusRHi4JWu_6Edj618FbYoxZ37f8I-SMPDby7BZqU=w36-h36-p-rp-mo-ba4-br100,Eko Darmono,Local Guide · 86 reviews · 64 photos,4 days ago,
https://lh3.googleusercontent.com/a-/ALV-UjWwL11uAYukzqK8BLOWsS-JecCS5b9hTMRU94I9tHhgberzg0BN=w36-h36-p-rp-mo-ba4-br100,Jimmy Dodi taurus,Local Guide · 60 reviews · 85 photos,4 days ago,"Kotor . Merokok pada ngak ditempatnya . Taxi bandara mahal . Dan banyak bau pesing
Arrangements Mobil di keberangkatan dimana penumpang yang akan berangkat bisa teduh tidak kehujanan malah ditutup dipakai segrlintir pejabat yang notabene dibayar pajak...(Kapan majunya bangsa ini)"
https://lh3.googleusercontent.com/a/ACg8ocLgx2n4ngk2Vqn6kV5NHTceJrQnYfU7lMwEnzAR5AW70Y-0Qw=w36-h36-p-rp-mo-ba3-br100,Sadri Sadri,Local Guide · 1 review · 4 photos,5 days ago,
https://lh3.googleusercontent.com/a-/ALV-UjW38yYQh7gLz5w8U6QfLw9QQ4U0YLgsz7lpyX9ngZNmXV5drFU=w36-h36-p-rp-mo-br100,FANDI SMA,3 reviews · 12 photos,5 days ago,Nyaman dan tenang untuk menginap di sini
https://lh3.googleusercontent.com/a-/ALV-UjVJQ7YDT7t0aQ0Rwiiu8Sr1Xu-8IpqN80aGtwpjyQRpfrx9jpQ=w36-h36-p-rp-mo-ba3-br100,Benhard Sihombing,Local Guide · 2 reviews · 27 photos,6 days ago,
https://lh3.googleusercontent.com/a-/ALV-UjW6UkMCfbBWsFmIg9oop0JlWBglkcMFuCRoQA97jsnbLuC3Yl8=w36-h36-p-rp-mo-ba4-br100,pakLik,Local Guide · 23 reviews · 155 photos,6 days ago,"Bersih, luas ada playground buat anak2 nunggu jadinya nga boring."
https://lh3.googleusercontent.com/a-/ALV-UjWTr09hp4LKoZZJsvQ5Cigq4mIB4J-iKWKMjoqQxwfgJm9y5mI=w36-h36-p-rp-mo-ba3-br100,Ahmad Deki,Local Guide · 22 reviews · 10 photos,6 days ago,Bagus
https://lh3.googleusercontent.com/a-/ALV-UjUjvW_5qnT3aX0MD008xngmwBZZmdcv0SGhlkP2Ck6nNUwQZ0k=w36-h36-p-rp-mo-ba5-br100,wahyu plutjogja,Local Guide · 107 reviews · 360 photos,a week ago,"Bandara bagus orangnya ramah ramah, Terima kasih Balikpapan"
